Base;Data;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
WEB_DEFENSE;06/04/2021;;;;
DT_SA;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DT_SA;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
COMMERCIAL;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DT_SA;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
COMMERCIAL;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DT_SA;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DT_SA;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
COMMERCIAL;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
COMMERCIAL;07/04/2021;;;;
DT_SA;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
COMMERCIAL;07/04/2021;;;;
WEB_COMM;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DT_SA;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
COMMERCIAL;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
COMMERCIAL;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
COMMERCIAL;08/04/2021;;;;
COMMERCIAL;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
COMMERCIAL;08/04/2021;;;;
DT_SA;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;08/04/2021;;;;
DEFENSE;09/04/2021;;;;
EXECUTIVE;09/04/2021;;;;
COMMERCIAL;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
COMMERCIAL;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
COMMERCIAL;09/04/2021;;;;
DT_SA;09/04/2021;;;;
DT_SA;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
COMMERCIAL;09/04/2021;;;;
DEFENSE;09/04/2021;;;;
DEFENSE;10/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DT_SA;12/04/2021;;;;
COMMERCIAL;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
COMMERCIAL;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
COMMERCIAL;12/04/2021;;;;
TR_SA;12/04/2021;;;;
COMMERCIAL;12/04/2021;;;;
EXECUTIVE;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
COMMERCIAL;12/04/2021;;;;
DT_SA;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
COMMERCIAL;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DT_SA;12/04/2021;;;;
COMMERCIAL;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
COMMERCIAL;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;12/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
COMMERCIAL;13/04/2021;;;;
DT_SA;13/04/2021;;;;
